What could have happened before they chose?	events whose start time is smaller than the start time of they chose? </s>	events whose start time is smaller than the start time of they chose?	events whose start time is smaller than the start time of they chose? and whose start time is larger than the end time of they chose?	events whose start time is smaller than the start time of they chose?, and whose start time is larger than the end time of they chose?	events whose start time is smaller than the start time of they chose and whose start time is larger than the end time of they chose?	events whose start time is smaller than the start time of they chose? or whose start time is larger than the end time of they chose?	Events whose start time is smaller than the start time of they chose?	events whose start time is smaller than the start time of they chosen?	events whose start time is smaller than the start time of they chose? ; and events whose start time is larger than the end time of they chose?	events whose start time is smaller than the start time of they chosen? and whose start time is larger than the end time of they chose?	events whose start time is smaller than the start time of they chose?, whose start time is larger than the end time of they chose?
What happened while something looked?	events whose start time is larger than the start time of something looked? and whose start time is smaller than the end time of something looked? </s>	events whose start time is larger than the start time of something looked?	events whose start time is larger than the start time of something looked? and whose start time is smaller than the end time of something looked?	events whose start time is larger than the start time of something looked? or whose start time is smaller than the end time of something looked?	events whose start time is larger than the start time of something looked? ; and events whose start time is smaller than the end time of something looked?	events whose start time is larger than the start time of something looked?, and whose start time is smaller than the end time of something looked?	activities whose start time is larger than the start time of something looked? and whose start time is smaller than the end time of something looked?	Events whose start time is larger than the start time of something looked? and whose start time is smaller than the end time of something looked?	events whose start time is larger than the start time of something looked?, and whose start time is smaller than the end time of something looked?	events whose start time is larger than the start time of something glanced? and whose start time is smaller than the end time of something looked?	actions whose start time is larger than the start time of something looked? and whose start time is smaller than the end time of something looked?
What happened while something was suggested?	events whose start time is larger than the start time of something was suggested? and whose start time is smaller than the end time of something was suggested? </s>	events whose start time is larger than the start time of something was suggested? and whose start time is smaller than the end time of something was suggested?	events whose start time is larger than the start time of something was suggested?	events whose start time is larger than the start time of something was suggested?, and whose start time is smaller than the end time of something was suggested?	activities whose start time is larger than the start time of something was suggested? and whose start time is smaller than the end time of something was suggested?	events whose start time is larger than the start time of something was suggested? or whose start time is smaller than the end time of something was suggested?	Events whose start time is larger than the start time of something was suggested? and whose start time is smaller than the end time of something was suggested?	events whose start time is larger than the start time of something was suggested?, and whose start time is smaller than the end time of something was suggested?	events whose start time is larger than the start time of something was suggested? and whose start time is smaller than the end time of some was suggested?	events whose start time is larger than the start time of something was suggested? and whose start time is smaller than the end time of something was proposed?	events whose start time is larger than the start time of some was suggested? and whose start time is smaller than the end time of something was suggested?
What happened while something was delivered?	events whose start time is larger than the start time of something was delivered? and whose start time is smaller than the end time of something was delivered? </s>	events whose start time is larger than the start time of something was delivered?	events whose start time is larger than the start time of something was delivered? and whose start time is smaller than the end time of something was delivered?	events whose start time is larger than the start time of something was delivered? ; and events whose start time is smaller than the end time of something was delivered?	activities whose start time is larger than the start time of something was delivered? and whose start time is smaller than the end time of something was delivered?	events whose start time is larger than the start time of something was delivered?, and whose start time is smaller than the end time of something was delivered?	events whose start time is larger than the start time of something was delivered? or whose start time is smaller than the end time of something was delivered?	Events whose start time is larger than the start time of something was delivered? and whose start time is smaller than the end time of something was delivered?	events whose start time is larger than the start time of something was delivered? and whose start time is smaller than the end time of everything was delivered?	events whose start time is larger than the start time of something were delivered? and whose start time is smaller than the end time of something was delivered?	actions whose start time is larger than the start time of something was delivered? and whose start time is smaller than the end time of something was delivered?
What happened while the operating results were hit?	events whose start time is larger than the start time of the operating results were hit? and whose start time is smaller than the end time of the operating results were hit? </s>	events whose start time is larger than the start time of the operating results were hit? and whose start time is smaller than the end time of the operating results were hit?	events whose start time is larger than the start time of the operating results were hit?	activities whose start time is larger than the start time of the operating results were hit? and whose start time is smaller than the end time of the operating results were hit?	events whose start time is larger than the start time of the operation results were hit? and whose start time is smaller than the end time of the operating results were hit?	Events whose start time is larger than the start time of the operating results were hit? and whose start time is smaller than the end time of the operating results were hit?	events whose start time is larger than the start time of the operational results were hit? and whose start time is smaller than the end time of the operating results were hit?	events whose start time is larger than the start time of the operating results were hit? and whose start time is smaller than the end time of the operation results were hit?	events whose start time is larger than the start time of the operating results were hit?, and whose start time is smaller than the end time of the operating results were hit?	event whose start time is larger than the start time of the operating results were hit? and whose start time is smaller than the end time of the operating results were hit?	actions whose start time is larger than the start time of the operating results were hit? and whose start time is smaller than the end time of the operating results were hit?
What happened while arrests were made?	events whose start time is larger than the start time of arrests were made? and whose start time is smaller than the end time of arrests were made? </s>	events whose start time is larger than the start time of arrests were made? and whose start time is smaller than the end time of arrests were made?	events whose start time is larger than the start time of arrests were made?	activities whose start time is larger than the start time of arrests were made? and whose start time is smaller than the end time of arrests were made?	Events whose start time is larger than the start time of arrests were made? and whose start time is smaller than the end time of arrests were made?	actions whose start time is larger than the start time of arrests were made? and whose start time is smaller than the end time of arrests were made?	events whose start time is larger than the start time of arrests were made?, and whose start time is smaller than the end time of arrests were made?	events whose start time is larger than the start time of arrests were made? ; and events whose start time is smaller than the end time of arrests were made?	incidents whose start time is larger than the start time of arrests were made? and whose start time is smaller than the end time of arrests were made?	events whose start time is larger than the start time of arrests were made? or whose start time is smaller than the end time of arrests were made?	event whose start time is larger than the start time of arrests were made? and whose start time is smaller than the end time of arrests were made?
What happened while the killings were investigated?	events whose start time is larger than the start time of the killings were investigated? and whose start time is smaller than the end time of the killings were investigated? </s>	events whose start time is larger than the start time of the killings were investigated? and whose start time is smaller than the end time of the killings were investigated?	events whose start time is larger than the start time of the killings were investigated?	events whose start time is larger than the start time of the murders were investigated? and whose start time is smaller than the end time of the killings were investigated?	activities whose start time is larger than the start time of the killings were investigated? and whose start time is smaller than the end time of the killings were investigated?	Events whose start time is larger than the start time of the killings were investigated? and whose start time is smaller than the end time of the killings were investigated?	events whose start time is larger than the start time of the killings were investigated? and whose start time is smaller than the end time of the murders were investigated?	events whose start time is larger than the start time of the deaths were investigated? and whose start time is smaller than the end time of the killings were investigated?	actions whose start time is larger than the start time of the killings were investigated? and whose start time is smaller than the end time of the killings were investigated?	events whose start time is larger than the start time of the killings were investigated? and whose start time is smaller than the end time of the shootings were investigated?	event whose start time is larger than the start time of the killings were investigated? and whose start time is smaller than the end time of the killings were investigated?
What happened while he died?	events whose start time is larger than the start time of he died? and whose start time is smaller than the end time of he died? </s>	events whose start time is larger than the start time of he died? and whose start time is smaller than the end time of he died?	events whose start time is larger than the start time of he died?	activities whose start time is larger than the start time of he died? and whose start time is smaller than the end time of he died?	Events whose start time is larger than the start time of he died? and whose start time is smaller than the end time of he died?	events whose start time is larger than the start time of the he died? and whose start time is smaller than the end time of the he died?	events whose start time is larger than the start time of he died?, and whose start time is smaller than the end time of he died?	events whose start time is larger than the start time of he died?, and whose start time is smaller than the end time of he died?	events whose start time is larger than the start time of him died? and whose start time is smaller than the end time of he died?	actions whose start time is larger than the start time of he died? and whose start time is smaller than the end time of he died?	things whose start time is larger than the start time of he died? and whose start time is smaller than the end time of he died?
What happened while he was kidnapped?	events whose start time is larger than the start time of he was kidnapped? and whose start time is smaller than the end time of he was kidnapped? </s>	events whose start time is larger than the start time of he was kidnapped? and whose start time is smaller than the end time of he was kidnapped?	events whose start time is larger than the start time of he was kidnapped?	activities whose start time is larger than the start time of he was kidnapped? and whose start time is smaller than the end time of he was kidnapped?	Events whose start time is larger than the start time of he was kidnapped? and whose start time is smaller than the end time of he was kidnapped?	events whose start time is larger than the start time of when he was kidnapped? and whose start time is smaller than the end time of when he was kidnapped?	events whose start time is larger than the start time of she was kidnapped? and whose start time is smaller than the end time of she was kidnapped?	events whose start time is larger than the start time of the he was kidnapped? and whose start time is smaller than the end time of the he was kidnapped?	things whose start time is larger than the start time of he was kidnapped? and whose start time is smaller than the end time of he was kidnapped?	events whose start time is larger than the start time of he was kidnapped? and whose start time is smaller than the end time of he was kidnapped?.	events whose start time is larger than the start time of He was kidnapped? and whose start time is smaller than the end time of He was kidnapped?
What happened while they agreed?	events whose start time is larger than the start time of they agreed? and whose start time is smaller than the end time of they agreed? </s>	events whose start time is larger than the start time of they agreed? and whose start time is smaller than the end time of they agreed?	events whose start time is larger than the start time of they agreed?	Events whose start time is larger than the start time of they agreed? and whose start time is smaller than the end time of they agreed?	activities whose start time is larger than the start time of they agreed? and whose start time is smaller than the end time of they agreed?	events whose start time is larger than the start time of they agreed? and whose start time is smaller than the end time of them agreed?	events whose start time is larger than the start time of them agreed? and whose start time is smaller than the end time of they agreed?	events whose start time is larger than the start time of they agreed? or whose start time is smaller than the end time of they agreed?	actions whose start time is larger than the start time of they agreed? and whose start time is smaller than the end time of they agreed?	things whose start time is larger than the start time of they agreed? and whose start time is smaller than the end time of they agreed?	événements whose start time is larger than the start time of they agreed? and whose start time is smaller than the end time of they agreed?
What happened while the women have something?	events whose start time is larger than the start time of the women have something? and whose start time is smaller than the end time of the women have something? </s>	events whose start time is larger than the start time of the women have something? and whose start time is smaller than the end time of the women have something?	events whose start time is larger than the start time of the women have something?	activities whose start time is larger than the start time of the women have something? and whose start time is smaller than the end time of the women have something?	events whose start time is larger than the start time of the women have something? and whose start time is smaller than the end time of the women have nothing?	Events whose start time is larger than the start time of the women have something? and whose start time is smaller than the end time of the women have something?	actions whose start time is larger than the start time of the women have something? and whose start time is smaller than the end time of the women have something?	events whose start time is larger than the start time of the women have some? and whose start time is smaller than the end time of the women have something?	events whose start time is larger than the start time of the women have nothing? and whose start time is smaller than the end time of the women have something?	events whose start time is larger than the start time of the women have something? or whose start time is smaller than the end time of the women have something?	events whose start time is larger than the start time of the women have something? and whose start time is smaller than the end time of the men have something?
What ended before there was no profit this year?	events whose end time is smaller than the start time of there was no profit this year? </s>	events whose start time is smaller than the start time of there was no profit this year?	Events whose start time is smaller than the start time of there was no profit this year?	events whose start time is smaller than the start time of there wasn't any profit this year?	things whose start time is smaller than the start time of there was no profit this year?	events whose start time is smaller than the start time of there wasn't profit this year?	events whose start time is smaller than the start time of there was not profit this year?	events whose start time is smaller than the start time of there was no profits this year?	items whose start time is smaller than the start time of there was no profit this year?	activities whose start time is smaller than the start time of there was no profit this year?	events whose start time is smaller than the start time of there was none profit this year?
What happened while someone said something about selling pressure?	events whose start time is larger than the start time of someone said something about selling pressure? and whose start time is smaller than the end time of someone said something about selling pressure? </s>	events whose start time is larger than the start time of someone said something about selling pressure? and whose start time is smaller than the end time of someone said something about selling pressure?	events whose start time is larger than the start time of someone said something about selling pressure?	events whose start time is larger than the start time of someone said something about selling pressure? and whose start time is smaller than the end time of something said something about selling pressure?	events whose start time is larger than the start time of somebody said something about selling pressure? and whose start time is smaller than the end time of someone said something about selling pressure?	events whose start time is larger than the start time of someone said something about selling pressure? or whose start time is smaller than the end time of someone said something about selling pressure?	events whose start time is larger than the start time of someone said something about selling pressure? and whose start time is smaller than the end time of somebody said something about selling pressure?	events whose start time is larger than the start time of something said something about selling pressure? and whose start time is smaller than the end time of someone said something about selling pressure?	events whose start time is larger than the start time of someone said something about selling pressure?, and whose start time is smaller than the end time of someone said something about selling pressure?	events whose start time is larger than the start time of something said something about selling pressure? and whose start time is smaller than the end time of something said something about selling pressure?	events whose start time is larger than the start time of someone said something about selling pressure? ; and whose start time is smaller than the end time of someone said something about selling pressure?
What happened while something drifted?	events whose start time is larger than the start time of something drifted? and whose start time is smaller than the end time of something drifted? </s>	events whose start time is larger than the start time of something drifted? and whose start time is smaller than the end time of something drifted?	events whose start time is larger than the start time of something drifted?	activities whose start time is larger than the start time of something drifted? and whose start time is smaller than the end time of something drifted?	Events whose start time is larger than the start time of something drifted? and whose start time is smaller than the end time of something drifted?	events whose start time is larger than the start time of something drifted? or whose start time is smaller than the end time of something drifted?	events whose start time is larger than the start time of something drifted?, and whose start time is smaller than the end time of something drifted?	actions whose start time is larger than the start time of something drifted? and whose start time is smaller than the end time of something drifted?	events whose start time is larger than the start time of Something Drifted? and whose start time is smaller than the end time of Something Drifted?	things whose start time is larger than the start time of something drifted? and whose start time is smaller than the end time of something drifted?	events whose start time is larger than the start time of something drifted? and whose start time is smaller than the end time of Something drifted?
What happened while something dropped?	events whose start time is larger than the start time of something dropped? and whose start time is smaller than the end time of something dropped? </s>	events whose start time is larger than the start time of something dropped? and whose start time is smaller than the end time of something dropped?	events whose start time is larger than the start time of something dropped?	activities whose start time is larger than the start time of something dropped? and whose start time is smaller than the end time of something dropped?	Events whose start time is larger than the start time of something dropped? and whose start time is smaller than the end time of something dropped?	events whose start time is larger than the start time of something dropped? or whose start time is smaller than the end time of something dropped?	events whose start time is larger than the start time of something dropped? ; and events whose start time is smaller than the end time of something dropped?	events whose start time is larger than the start time of something dropped?, and whose start time is smaller than the end time of something dropped?	things whose start time is larger than the start time of something dropped? and whose start time is smaller than the end time of something dropped?	actions whose start time is larger than the start time of something dropped? and whose start time is smaller than the end time of something dropped?	events whose start time is larger than the start time of something dropped?, and whose start time is smaller than the end time of something dropped?
What happened while something was chosen?	events whose start time is larger than the start time of something was chosen? and whose start time is smaller than the end time of something was chosen? </s>	events whose start time is larger than the start time of something was chosen? and whose start time is smaller than the end time of something was chosen?	events whose start time is larger than the start time of something was chosen?	events whose start time is larger than the start time of something was selected? and whose start time is smaller than the end time of something was chosen?	events whose start time is larger than the start time of something was chosen? and whose start time is smaller than the end time of something was selected?	activities whose start time is larger than the start time of something was chosen? and whose start time is smaller than the end time of something was chosen?	events whose start time is larger than the start time of something was chosen?, and whose start time is smaller than the end time of something was chosen?	events whose start time is larger than the start time of something was chosen? or whose start time is smaller than the end time of something was chosen?	events whose start time is larger than the start time of something was chosen? ; and events whose start time is smaller than the end time of something was chosen?	Events whose start time is larger than the start time of something was chosen? and whose start time is smaller than the end time of something was chosen?	events whose start time is larger than the start time of something was chosen?, and whose start time is smaller than the end time of something was chosen?
What happened while something closed?	events whose start time is larger than the start time of something closed? and whose start time is smaller than the end time of something closed? </s>	events whose start time is larger than the start time of something closed?	events whose start time is larger than the start time of something closed? and whose start time is smaller than the end time of something closed?	events whose start time is larger than the start time of something opened? and whose start time is smaller than the end time of something closed?	events whose start time is larger than the start time of something closed? or whose start time is smaller than the end time of something closed?	events whose start time is larger than the start time of something closed? and whose start time is smaller than the end time of something opened?	activities whose start time is larger than the start time of something closed? and whose start time is smaller than the end time of something closed?	events whose start time is larger than the start time of something closed?, and whose start time is smaller than the end time of something closed?	events whose start time is larger than the start time of something closed? ; and events whose start time is smaller than the end time of something closed?	events whose start time is larger than the start time of something opened? and whose start time is smaller than the end time of something opened?	Events whose start time is larger than the start time of something closed? and whose start time is smaller than the end time of something closed?
What happened while something was filed?	events whose start time is larger than the start time of something was filed? and whose start time is smaller than the end time of something was filed? </s>	events whose start time is larger than the start time of something was filed? and whose start time is smaller than the end time of something was filed?	events whose start time is larger than the start time of something was filed?	activities whose start time is larger than the start time of something was filed? and whose start time is smaller than the end time of something was filed?	events whose start time is larger than the start time of something was filed? ; and events whose start time is smaller than the end time of something was filed?	events whose start time is larger than the start time of something was filed?, and whose start time is smaller than the end time of something was filed?	Events whose start time is larger than the start time of something was filed? and whose start time is smaller than the end time of something was filed?	events whose start time is larger than the start time of something was filed? or whose start time is smaller than the end time of something was filed?	actions whose start time is larger than the start time of something was filed? and whose start time is smaller than the end time of something was filed?	things whose start time is larger than the start time of something was filed? and whose start time is smaller than the end time of something was filed?	events whose start time is larger than the start time of something was filed? and whose start time is smaller than the end time of everything was filed?
